TP,USL,LSL
,,
T::TP1_T_PCT_400,12.86,12.86
,,
T::TP1_T_PCT_410,100,100
,,
T::TP1_T_PCT_420,100,100
,,
T::TP1_T_PCT_450,8.54,8.54
,,
T::TP1_T_PCT_500,7.8,7.8
,,
T::TP1_T_PCT_550,7.13,7.13
,,
T::TP1_T_PCT_600,7.02,7.02
,,
T::TP1_T_PCT_650,6.45,6.45
,,
T::TP1_T_PCT_700,5.8,5.8
,,
T::TP1_T_PCT_750,5.36,5.36
,,
T::TP1_T_PCT_800,4.45,4.45
,,
T::TP1_T_PCT_850,4.57,4.57
,,
T::TP1_T_PCT_900,4.08,4.08
,,
T::TP1_T_PCT_950,100,100
,,
T::TP1_T_PCT_1000,100,100
,,
T::TP1_T_PCT_1050,100,100
,,
T::TP1_T_PCT_1100,100,100
,,
T::TP2_T_PCT_400,12.86,12.86
,,
T::TP2_T_PCT_410,100,100
,,
T::TP2_T_PCT_420,100,100
,,
T::TP2_T_PCT_450,8.54,8.54
,,
T::TP2_T_PCT_500,7.8,7.8
,,
T::TP2_T_PCT_550,7.13,7.13
,,
T::TP2_T_PCT_600,7.02,7.02
,,
T::TP2_T_PCT_650,6.45,6.45
,,
T::TP2_T_PCT_700,5.8,5.8
,,
T::TP2_T_PCT_750,5.36,5.36
,,
T::TP2_T_PCT_800,4.45,4.45
,,
T::TP2_T_PCT_850,4.57,4.57
,,
T::TP2_T_PCT_900,4.08,4.08
,,
T::TP2_T_PCT_950,100,100
,,
T::TP2_T_PCT_1000,100,100
,,
T::TP2_T_PCT_1050,100,100
,,
T::TP2_T_PCT_1100,100,100
,,
T::TP3_T_PCT_400,12.86,12.86
,,
T::TP3_T_PCT_410,100,100
,,
T::TP3_T_PCT_420,100,100
,,
T::TP3_T_PCT_450,8.54,8.54
,,
T::TP3_T_PCT_500,7.8,7.8
,,
T::TP3_T_PCT_550,7.13,7.13
,,
T::TP3_T_PCT_600,7.02,7.02
,,
T::TP3_T_PCT_650,6.45,6.45
,,
T::TP3_T_PCT_700,5.8,5.8
,,
T::TP3_T_PCT_750,5.36,5.36
,,
T::TP3_T_PCT_800,4.45,4.45
,,
T::TP3_T_PCT_850,4.57,4.57
,,
T::TP3_T_PCT_900,4.08,4.08
,,
T::TP3_T_PCT_950,100,100
,,
T::TP3_T_PCT_1000,100,100
,,
T::TP3_T_PCT_1050,100,100
,,
T::TP3_T_PCT_1100,100,100
