Wavelngth,ND520-01,Min%,Max%,ND510-01,Min%,Max%,ND506-01,Min%,Max%,ND520-04,Min%,Max%,ND510-04,Min%,Max%,ND510-05,Min%,Max%
,,,,,,,,,,,,,,,,,,
400,0.27,-10,10,8.42,-10,10,21.01,-10,10,0.27,-10,10,8.43,-10,10,8.43,-10,10
,,,,,,,,,,,,,,,,,,
450,0.61,-10,10,10.37,-10,10,23.97,-10,10,0.6,-10,10,10.38,-10,10,10.38,-10,10
,,,,,,,,,,,,,,,,,,
500,0.66,-5,5,9.8,-5,5,23.26,-5,5,0.66,-5,5,9.81,-5,5,9.81,-5,5
,,,,,,,,,,,,,,,,,,
550,0.81,-5,5,10.72,-5,5,24.6,-5,5,0.8,-5,5,10.73,-5,5,10.73,-5,5
,,,,,,,,,,,,,,,,,,
600,0.75,-5,5,9.15,-5,5,22.41,-5,5,0.74,-5,5,9.17,-5,5,9.17,-5,5
,,,,,,,,,,,,,,,,,,
650,1.05,-5,5,9.76,-5,5,23.34,-5,5,1.05,-5,5,9.77,-5,5,9.77,-5,5
,,,,,,,,,,,,,,,,,,
700,2.74,-5,5,15.68,-5,5,31.19,-5,5,2.73,-5,5,15.69,-5,5,15.69,-5,5
,,,,,,,,,,,,,,,,,,
750,4.13,-5,5,16.95,-5,5,32.76,-5,5,4.13,-5,5,16.96,-5,5,16.96,-5,5
,,,,,,,,,,,,,,,,,,
800,4.64,-5,5,15.14,-5,5,30.67,-5,5,4.63,-5,5,15.16,-5,5,15.16,-5,5
,,,,,,,,,,,,,,,,,,
850,4.67,-5,5,13.19,-5,5,28.21,-5,5,4.67,-5,5,13.2,-5,5,13.2,-5,5
,,,,,,,,,,,,,,,,,,
900,4.46,-5,5,11.38,-5,5,25.95,-5,5,4.38,-5,5,11.48,-5,5,11.48,-5,5
,,,,,,,,,,,,,,,,,,
950,4.18,-5,5,10.05,-5,5,23.97,-5,5,4.16,-5,5,10.06,-5,5,10.06,-5,5
,,,,,,,,,,,,,,,,,,
1000,4.03,-5,5,9.08,-5,5,22.55,-5,5,4.02,-5,5,9.08,-5,5,9.08,-5,5
,,,,,,,,,,,,,,,,,,
1050,4.04,-5,5,8.52,-5,5,21.72,-5,5,4.03,-5,5,8.55,-5,5,8.55,-5,5
,,,,,,,,,,,,,,,,,,
1100,4.18,-5,5,8.34,-5,5,21.47,-5,5,4.15,-5,5,8.36,-5,5,8.36,-5,5
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,
