TP,LSL,USL
,,
T::TP1_T_PCT_400,100,0.5
,,
T::TP1_T_PCT_410,100,0.5
,,
T::TP1_T_PCT_420,100,0.5
,,
T::TP1_T_PCT_450,100,0.5
,,
T::TP1_T_PCT_500,100,0.5
,,
T::TP1_T_PCT_550,100,0.5
,,
T::TP1_T_PCT_600,100,0.5
,,
T::TP1_T_PCT_650,100,0.5
,,
T::TP1_T_PCT_700,100,0.5
,,
T::TP1_T_PCT_750,100,0.5
,,
T::TP1_T_PCT_800,100,0.5
,,
T::TP1_T_PCT_850,100,0.5
,,
T::TP1_T_PCT_900,100,0.5
,,
T::TP1_T_PCT_950,100,0.5
,,
T::TP1_T_PCT_1000,100,0.5
,,
T::TP1_T_PCT_1050,100,0.5
,,
T::TP1_T_PCT_1100,100,0.5
,,
T::TP2_T_PCT_400,100,0.5
,,
T::TP2_T_PCT_410,100,0.5
,,
T::TP2_T_PCT_420,100,0.5
,,
T::TP2_T_PCT_450,100,0.5
,,
T::TP2_T_PCT_500,100,0.5
,,
T::TP2_T_PCT_550,100,0.5
,,
T::TP2_T_PCT_600,100,0.5
,,
T::TP2_T_PCT_650,100,0.5
,,
T::TP2_T_PCT_700,100,0.5
,,
T::TP2_T_PCT_750,100,0.5
,,
T::TP2_T_PCT_800,100,0.5
,,
T::TP2_T_PCT_850,100,0.5
,,
T::TP2_T_PCT_900,100,0.5
,,
T::TP2_T_PCT_950,100,0.5
,,
T::TP2_T_PCT_1000,100,0.5
,,
T::TP2_T_PCT_1050,100,0.5
,,
T::TP2_T_PCT_1100,100,0.5
,,
T::TP3_T_PCT_400,100,0.5
,,
T::TP3_T_PCT_410,100,0.5
,,
T::TP3_T_PCT_420,100,0.5
,,
T::TP3_T_PCT_450,100,0.5
,,
T::TP3_T_PCT_500,100,0.5
,,
T::TP3_T_PCT_550,100,0.5
,,
T::TP3_T_PCT_600,100,0.5
,,
T::TP3_T_PCT_650,100,0.5
,,
T::TP3_T_PCT_700,100,0.5
,,
T::TP3_T_PCT_750,100,0.5
,,
T::TP3_T_PCT_800,100,0.5
,,
T::TP3_T_PCT_850,100,0.5
,,
T::TP3_T_PCT_900,100,0.5
,,
T::TP3_T_PCT_950,100,0.5
,,
T::TP3_T_PCT_1000,100,0.5
,,
T::TP3_T_PCT_1050,100,0.5
,,
T::TP3_T_PCT_1100,100,0.5
